Round,Date,Home Team,Home Score,Away Team,Away Score,Venue,,,,,,,,
1,Saturday 5 April 2008,Central Pulse,33,Melbourne Vixens,50,"TSB Bank Arena, Wellington",,,,,,,,
1,Sunday 6 April 2008,Queensland Firebirds,48,West Coast Fever,46,Brisbane Convention & Exhibition Centre,,,,,,,,
1,Sunday 6 April 2008,Northern Mystics,44,Canterbury Tactix,48,"Trusts Stadium, Auckland",,,,,,,,
1,Monday 7 April 2008,Waikato Bay of Plenty Magic,46,Adelaide Thunderbirds,42,"Energy Events Centre, Rotorua",,,,,,,,
1,Monday 7 April 2008,New South Wales Swifts,53,Southern Steel,42,"Acer Arena, Sydney",,,,,,,,
2,Saturday 12 April 2008,Canterbury Tactix,50,New South Wales Swifts,44,"Westpac Centre, Christchurch",,,,,,,,
2,Sunday 13 April 2008 ,Melbourne Vixens,62,Queensland Firebirds,52,"State Netball and Hockey Centre,Melbourne",,,,,,,,
2,Sunday 13 April 2008 ,Waikato Bay of Plenty Magic,56,Northern Mystics,52,"Energy Events Centre, Rotorua",,,,,,,,
2,Monday 14 April 2008 ,Central Pulse,50,Southern Steel,52,"TSB Bank Arena, Wellington",,,,,,,,
2,Monday 14 April 2008 ,West Coast Fever,41,Adelaide Thunderbirds,54,"Challenge Stadium, Perth",,,,,,,,
3,Saturday 19 April 2008,Northern Mystics,45,West Coast Fever,49,"Trusts Stadium, Auckland",,,,,,,,
3,Saturday 19 April 2008,New South Wales Swifts,50,Waikato Bay of Plenty Magic,47,Newcastle Entertainment Centre,,,,,,,,
3,Sunday 20 April 2008 ,Melbourne Vixens,38,Adelaide Thunderbirds,39,"Vodafone Arena, Melbourne",,,,,,,,
3,Monday 21 April 2008 ,Canterbury Tactix,42,Southern Steel,51,"Westpac Arena, Christchurch",,,,,,,,
3,Monday 21 April 2008 ,Queensland Firebirds,56,Central Pulse,28,Brisbane Convention & Exhibition Centre,,,,,,,,
4,Saturday 26 April 2008,Waikato Bay of Plenty Magic,61,West Coast Fever,47,"Mystery Creek Events Centre,Hamilton",,,,,,,,
4,Saturday 26 April 2008,Queensland Firebirds,46,Northern Mystics,40,Brisbane Convention & Exhibition Centre,,,,,,,,
4,Sunday 27 April 2008 ,Adelaide Thunderbirds,54,Southern Steel,41,"ETSA Park, Adelaide",,,,,,,,
4,Monday 28 April 2008 ,Canterbury Tactix,50,Melbourne Vixens,58,"Westpac Arena, Christchurch",,,,,,,,
4,Monday 28 April 2008 ,New South Wales Swifts,59,Central Pulse,30,Sydney Olympic Park Sports Centre,,,,,,,,
5,Saturday 3 May 2008,Waikato Bay of Plenty Magic,54,Central Pulse,37,"Mystery Creek Events Centre,Hamilton",,,,,,,,
5,Saturday 3 May 2008,West Coast Fever,46,Queensland Firebirds,65,"Challenge Stadium, Perth",,,,,,,,
5,Monday 5 May 2008,Southern Steel,48,Northern Mystics,50,"Stadium Southland, Invercargill",,,,,,,,
5,Monday 5 May 2008,New South Wales Swifts,52,Melbourne Vixens,53,Newcastle Entertainment Centre,,,,,,,,
6,Saturday 10 May 2008 ,Southern Steel,48,Canterbury Tactix,51,"Stadium Southland, Invercargill",,,,,,,,
6,Saturday 10 May 2008 ,Queensland Firebirds,66,New South Wales Swifts,52,Brisbane Convention & Exhibition Centre,,,,,,,,
6,Monday 12 May 2008,Northern Mystics,45,Waikato Bay of Plenty Magic,59,"Trusts Stadium, Auckland",,,,,,,,
6,Monday 12 May 2008,Adelaide Thunderbirds,66,West Coast Fever,50,"ETSA Park, Adelaide",,,,,,,,
7,Saturday 17 May 2008 ,Central Pulse,50,Canterbury Tactix,55,"Arena Manawatu, Palmerston North",,,,,,,,
7,Sunday 18 May 2008,Adelaide Thunderbirds,46,Melbourne Vixens,52,"ETSA Park, Adelaide",,,,,,,,
7,Monday 19 May 2008,Waikato Bay of Plenty Magic,56,Southern Steel,47,"Mystery Creek Events Centre,Hamilton",,,,,,,,
7,Monday 19 May 2008,New South Wales Swifts,66,West Coast Fever,54,Sydney Olympic Park Sports Centre,,,,,,,,
8,Saturday 24 May 2008 ,Canterbury Tactix,50,Waikato Bay of Plenty Magic,54,"Westpac Arena, Christchurch",,,,,,,,
8,Sunday 25 May 2008,Queensland Firebirds,60,Melbourne Vixens,51,Brisbane Convention & Exhibition Centre,,,,,,,,
8,Monday 26 May 2008,Central Pulse,48,Northern Mystics,54,"TSB Bank Arena, Wellington",,,,,,,,
8,Monday 26 May 2008,Adelaide Thunderbirds,44,New South Wales Swifts,50,"ETSA Park, Adelaide",,,,,,,,
9,Saturday 31 May 2008 ,Southern Steel,41,Central Pulse,29,"Stadium Southland, Invercargill",,,,,,,,
9,Sunday 1 June 2008,Melbourne Vixens,57,West Coast Fever,44,"State Netball and Hockey Centre,Melbourne",,,,,,,,
9,Monday 2 June 2008,Northern Mystics,50,Canterbury Tactix,46,"Trusts Stadium, Auckland",,,,,,,,
9,Monday 2 June 2008,Queensland Firebirds,41,Adelaide Thunderbirds,47,Brisbane Convention & Exhibition Centre,,,,,,,,
10,Saturday 7 June 2008 ,Southern Steel,47,Melbourne Vixens,46,"Stadium Southland, Invercargill",,,,,,,,
10,Sunday 8 June 2008,Adelaide Thunderbirds,61,Canterbury Tactix,41,"ETSA Park, Adelaide",,,,,,,,
10,Sunday 8 June 2008,Waikato Bay of Plenty Magic,56,Queensland Firebirds,50,"Energy Events Centre, Rotorua",,,,,,,,
10,Monday 9 June 2008,Northern Mystics,62,New South Wales Swifts,64,"Trusts Stadium, Auckland",,,,,,,,
10,Monday 9 June 2008,West Coast Fever,33,Central Pulse,16,"Challenge Stadium, Perth",,,,,,,,
11,Saturday 14 June 2008,Northern Mystics,47,Adelaide Thunderbirds,48,"Trusts Stadium, Auckland",,,,,,,,
11,Sunday 15 June 2008,New South Wales Swifts,61,Queensland Firebirds,60,Sydney Olympic Park Sports Centre,,,,,,,,
11,Sunday 15 June 2008,Canterbury Tactix,50,Central Pulse,49,"Westpac Centre, Christchurch",,,,,,,,
11,Monday 16 June 2008,Southern Steel,58,West Coast Fever,43,"Edgar Centre, Dunedin",,,,,,,,
